point,w,z
Point1,86,0
Point2,89,0
Point3,92,0
Point4,96,0
Point5,99,0
Point6,103,0
Point7,107,0
Point8,111,0
Point9,115,0
Point10,119,0
Point11,124,0
Point12,129,0
Point13,134,0
Point14,139,0
Point15,144,0
Point16,149,0
Point17,155,0
Point18,162,0
Point19,168,0
Point20,174,1
Point21,178,9
Point22,183,16
Point23,187,25
Point24,192,34
Point25,196,43
Point26,201,53
Point27,205,63
Point28,209,72
Point29,214,82
Point30,218,94
Point31,223,104
Point32,227,115
Point33,232,126
Point34,235,138
Point35,240,150
Point36,244,161
Point37,248,173
Point38,252,185
Point39,256,197
Point40,262,205
Point41,272,205
Point42,282,205
Point43,294,205
Point44,307,205
Point45,322,205
Point46,340,205
Point47,360,205
Point48,386,205
Point49,415,205
Point50,449,205